"Species","NicheBreadth","Occurrences","LogOccurrences","Bootstrap","Algorithm","PAStrategy","PANumber","MeanSuitability","SuitableArea","SchoenersD","ElevationCentroid","TSS"
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GLM","random",1,214.623917675937,24.8784722222218,0.864903080402909,2166.18571760275,501
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GAM","random",1,225.053017020473,25.413194444444,0.862858277167049,2202.84336703406,498
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"RF","random",1,108.492298977693,7.71701388888877,0.69221231138973,2283.88125535319,495
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"MAXENT","random",1,50.4226526043212,19.7100694444441,0.431487646889537,2517.4207633903,40
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GLM","random",3,127.53569983546,24.3506944444441,0.786463896162693,2267.42547414613,262
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GAM","random",3,136.240134329566,29.3263888888884,0.791500333697254,2311.92306908735,201
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"RF","random",3,51.9300569147358,3.15798611111106,0.56322118321856,2419.98031220604,485
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"MAXENT","random",3,53.4767890378443,17.2951388888886,0.515995799148827,2463.94307493651,81
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GLM","random",5,94.644417770345,24.6597222222218,0.735629718635306,2335.93076100409,170
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GAM","random",5,102.09865670434,29.5312499999995,0.741359806781621,2379.04197335687,129
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"RF","random",5,36.5382083996439,2.40104166666663,0.485987266881329,2515.74896665463,470
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"MAXENT","random",5,45.6286380924123,20.723958333333,0.473976279749909,2498.00746752834,40
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GLM","disk",1,281.813799800394,33.883680555555,0.902671111758839,2056.79919164852,525
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GAM","disk",1,287.084171769212,36.571180555555,0.912069572690104,2057.25824269808,475
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"RF","disk",1,251.451757343619,30.5954861111106,0.845619691466194,2072.79128307433,475
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"MAXENT","disk",1,149.59667412942,23.1111111111107,0.525236486049645,2121.71319821186,10
